suburb,breed,type,colour,registered,age,animal_nam
 GROVEDALE ,Border Collie,Dog,Black/White,T,11,fLOSS
 GROVEDALE ,Dogue De Bordeaux,Dog,Tan,T,2,Lulu
 GROVEDALE ,Labrador Cross Breed Dog,Dog,Black/White,T,4,Toby
 GROVEDALE ,Maltese/Shih Tzu,Dog,Black/White,T,1,Floki
 GROVEDALE ,Italian Greyhound,Dog,Black/Tan,T,5,Luca
 GROVEDALE ,Cavoodle,Dog,Red,T,5,Chardy
 HIGHTON ,Maltese/Shih Tzu,Dog,Black/White,T,6,Bonnie
 GROVEDALE ,Jack Russell,Dog,Tan/White,T,14,Rusty
 CERES ,Border Collie,Dog,Black/White,T,8,Jeff
 BELMONT ,Pomeranian,Dog,Red,F,10,Gemma
 BELMONT ,Domestic,Cat,Black/White,T,13,Boris
 BELMONT ,German S/H Pointer,Dog,Black/White,T,11,Teddy
 BELMONT ,Jack Russell/Fox Terrier,Dog,Black/White,T,15,Charlotte
 HIGHTON ,Burmese,Cat,Lilac,T,10,Oscar
 HIGHTON ,Domestic,Cat,Tri Colour,T,6,Pandora
 HIGHTON ,Domestic Short Haired,Cat,Tabby,T,7,Misty
 HIGHTON ,Domestic,Cat,White,T,16,Kit Kat
 HIGHTON ,Maltese/Shih Tzu,Dog,Tan/White,T,9,Max
 HIGHTON ,Labrador/Retriever,Dog,Black,T,14,Nell
 HIGHTON ,Shih Tzu,Dog,Black/White,T,14,Cassie
 HIGHTON ,Maltese,Dog,White,T,7,Bobby
 HIGHTON ,Jack Russell/Fox Terrier,Dog,White/Tan,T,12,Jess
 GROVEDALE ,Border Collie,Dog,Black/White,T,4,Swanny
 CERES ,Tonkinese,Cat,Fawn,F,10,Bonnie
 GROVEDALE ,Domestic Short Haired,Cat,Grey,T,14,Princess
 GROVEDALE ,Maltese/Shih Tzu,Dog,White/Black,T,13,Patch
 GROVEDALE ,Pomeranian,Dog,Black,T,13,Chloe
 BELMONT ,Domestic,Cat,Black/White,T,7,Monty
 BELMONT ,Domestic Short Haired,Cat,Grey/ White,T,6,Kimi
 BELMONT ,West Highland Terrier,Dog,White,T,6,Millie
 HIGHTON ,Lhasa Apso,Dog,Cream,T,11,Charlie
 BELMONT ,German Shepherd,Dog,Black/Tan,T,6,Sasha
 BELMONT ,Miniature/Dachshund,Dog,Red,T,10,Heidi
 HIGHTON ,Domestic Short Haired,Cat,Ginger/White,T,9,Billabong
 BELMONT ,Domestic,Cat,Tawny/Tabby,T,8,Annie
 BELMONT ,Kelpie/Cross,Dog,Black,T,11,Bess
 GROVEDALE ,Beagle/Cross,Dog,Tan/White,T,1,Bindi
 GROVEDALE ,Golden Retriever,Dog,Tan,T,11,Winnie
 BELMONT ,Pug/Cavalier KC Spaniel,Dog,Tri Colour,T,4,Ratchet
 GROVEDALE ,Chihuahua/Cross,Dog,Sandy,T,6,Mia
 BELMONT ,Shih Tzu/Cross,Dog,Tan,T,2,Alby
 CERES ,Siberian Husky,Dog,Red/White,T,1,Jett
 GROVEDALE ,Whippet/Staghound,Dog,Fawn,T,10,bonnie
 BELMONT ,Pointer,Dog,Liver/White,T,1,Pringle
 BELMONT ,Scottish Terrier,Dog,Black,T,11,Jock
 BELMONT ,Rough Collie,Dog,Tri Colour,T,2,Holly
 HIGHTON ,Labrador,Dog,Black,T,5,Angus
 GROVEDALE ,Bichon Frise,Dog,Chocolate/Brown,T,3,Cadbury
 WAURN PONDS ,Cavalier KC Spaniel,Dog,Blenheim,T,7,Charlie
 WAURN PONDS ,Rottweiler,Dog,Black/Tan,F,8,Peanut
 BELMONT ,American Staffordshire,Dog,Tri Colour,T,9,Tyson
 BELMONT ,K.C.Spaniel,Dog,Blenheim,T,12,Millie
